,taxID,genus,epithet,entry_UIDs,count,outgroup
1487313,1487313,Xerocomus,sp. HKAS 52557,['613814085'],1,False
1487312,1487312,Xerocomus,aff. subtomentosus HKAS 58865,['613814129'],1,False
1487311,1487311,Xerocomus,aff. macrobbii HKAS 56280,['613813951'],1,False
1487310,1487310,Xerocomellus,sp. HKAS 76673,['613813965'],1,False
1487309,1487309,Xerocomellus,sp. HKAS 59608,['613813971'],1,False
1487308,1487308,Xerocomellus,sp. HKAS 56311,['613813917'],1,False
1487307,1487307,Xerocomellus,sp. HKAS 51292,['613813963'],1,False
1487305,1487305,Xerocomellus,sp. HKAS 50466,['613813967'],1,False
1487304,1487304,Xerocomellus,aff. rubellus HKAS 51239,['613813969'],1,False
1487303,1487303,Veloporphyrellus,aff. velatus HKAS 57490,['613813979'],1,False
1487302,1487302,Tylopilus,sp. HKAS 74928,['613814035'],1,False
1487301,1487301,Tylopilus,sp. HKAS 74925,['613814023'],1,False
1487299,1487299,Tylopilus,sp. HKAS 53590,['613813981'],1,False
1487297,1487297,Tylopilus,sp. HKAS 53367,['613814099'],1,False
1487295,1487295,Tylopilus,sp. HKAS 50229,['613814017'],1,False
1487294,1487294,Tylopilus,sp. HKAS 46334,['613814031'],1,False
1487292,1487292,Tylopilus,aff. balloui HKAS 59700,['613814107'],1,False
1487291,1487291,Sutorius,aff. eximius HKAS 56291,['613814039'],1,False
1487290,1487290,Sutorius,aff. eximius HKAS 52672,['613814037'],1,False
1487289,1487289,Suillus,aff. luteus HKAS 57748,['613814161'],1,False
1487288,1487288,Suillus,aff. granulatus HKAS 57622,['613814159'],1,False
1487287,1487287,Strobilomyces,sp. HKAS 74911,['613814071'],1,False
1487286,1487286,Strobilomyces,sp. HKAS 74865,['613814075'],1,False
1487285,1487285,Strobilomyces,sp. HKAS 74809,['613814067'],1,False
1487283,1487283,Strobilomyces,sp. HKAS 59435,['613814079'],1,False
1487282,1487282,Strobilomyces,sp. HKAS 59420,['613814069'],1,False
1487281,1487281,Strobilomyces,sp. HKAS 53348,['613814073'],1,False
1487280,1487280,Strobilomyces,aff. verruculosus HKAS 55389,['613814077'],1,False
1487279,1487279,Strobilomyces,aff. seminudus HKAS 59461,['613814081'],1,False
1487277,1487277,Retiboletus,aff. ornatipes HKAS 63548,['613813941'],1,False
1487276,1487276,Pulveroboletus,sp. HKAS 74933,['613813959'],1,False
1487275,1487275,Pulveroboletus,sp. HKAS 58860,['613813955'],1,False
1487274,1487274,Pulveroboletus,sp. HKAS 57665,['613813957'],1,False
1487273,1487273,Pulveroboletus,aff. ravenelii HKAS 53351,['613813953'],1,False
1487270,1487270,Porphyrellus,sp. HKAS 53366,['613814089'],1,False
1487269,1487269,Porphyrellus,holophaeus,"['1095786245', '613813977', '613813975']",3,False
1487268,1487268,Phylloporus,sp. HKAS 63001,['613814145'],1,False
1487267,1487267,Phylloporus,sp. HKAS 53422,['613814147'],1,False
1487266,1487266,Phlebopus,aff. portentosus HKAS 52855,['613814163'],1,False
1487265,1487265,Leccinum,sp. HKAS 57592,['613814057'],1,False
1487264,1487264,Leccinum,sp. HKAS 52538,['613814047'],1,False
1487263,1487263,Leccinum,aff. scabrum HKAS 57266,['613814049'],1,False
